barcode,title,year,format,poster_path,status
,The Bourne Ultimatum,2007,Blu-ray,https://image.tmdb.org/t/p/w200/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,owned
,Boyhood,2014,Blu-ray,https://image.tmdb.org/t/p/w200/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,owned
,Brave,2012,Blu-ray,https://image.tmdb.org/t/p/w200/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg,owned
,Bride of Chucky,1998,Blu-ray,https://image.tmdb.org/t/p/w200/uB2BNPi6GE6sNci6M7vL0Hux7sr.jpg,owned
,Bride Wars,2009,Blu-ray,https://image.tmdb.org/t/p/w200/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg,owned
,Bridge of Spies,2015,Blu-ray,https://image.tmdb.org/t/p/w200/fmOOjHAQzxr0c1sfcY4qkiSRBH6.jpg,owned
,Bridget Jones's Diary,2001,Blu-ray,https://image.tmdb.org/t/p/w200/dkauRl9TosBFikftrC3OVcKWDoz.jpg,owned
,Bridget Jones's Baby,2016,Blu-ray,https://image.tmdb.org/t/p/w200/5hHomngoPZrNoXOPlyaHV6eXaQW.jpg,owned
,Bridget Jones: The Edge of Reason,2004,Blu-ray,https://image.tmdb.org/t/p/w200/zDthRXkGnwFIWI0zWcJyS7h6lUl.jpg,owned
,Bridget Jones: Mad About the Boy,2025,Blu-ray,https://image.tmdb.org/t/p/w200/e5VR3nhLYG60znxaqU84wv4VSCb.jpg,owned
,Broken City,2013,Blu-ray,https://image.tmdb.org/t/p/w200/hqa5FwNZC55zqSpdeGFtBDqw55y.jpg,owned
,Bruce Almighty,2003,Blu-ray,https://image.tmdb.org/t/p/w200/f0QqG14SZYYZcV4VWykVc5w13dz.jpg,owned
,Brüno,2009,Blu-ray,https://image.tmdb.org/t/p/w200/wcUc7TYtsb72dHVb51sYaGIvQsr.jpg,owned
,Bumblebee,2018,Blu-ray,https://image.tmdb.org/t/p/w200/fw02ONlDhrYjTSZV8XO6hhU3ds3.jpg,owned
,Captain America: Brave New World,2025,Blu-ray,https://image.tmdb.org/t/p/w200/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,owned
,Captain America: Civil War,2016,Blu-ray,https://image.tmdb.org/t/p/w200/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,owned
,Captain America: The First Avenger,2011,Blu-ray,https://image.tmdb.org/t/p/w200/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,owned
,Captain America: The Winter Soldier,2014,Blu-ray,https://image.tmdb.org/t/p/w200/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,owned
,Captain Marvel,2019,Blu-ray,https://image.tmdb.org/t/p/w200/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,owned
,Captain Phillips,2013,Blu-ray,https://image.tmdb.org/t/p/w200/8Td0kkocW6sD3uRpzwfMfkqMWhx.jpg,owned
,Casablanca,1943,Blu-ray,https://image.tmdb.org/t/p/w200/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,owned
,Casino,1995,Blu-ray,https://image.tmdb.org/t/p/w200/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,owned
,Casino Royale,2006,Blu-ray,https://image.tmdb.org/t/p/w200/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,owned
,Catch Me If You Can,2002,Blu-ray,https://image.tmdb.org/t/p/w200/sdYgEkKCDPWNU6KnoL4qd8xZ4w7.jpg,owned
,Cedar Rapids,2011,Blu-ray,https://image.tmdb.org/t/p/w200/udHprtPPfDHdcR1ijoY24mt9OB1.jpg,owned
